"Time	Open	High	Low	Close	Volume",,,,,,,Label
"2021-06-25 04:00:00	1.3929	1.3932	1.38984	1.39104	11688	8",,,,,,,-1
"2021-06-25 08:00:00	1.39104	1.39174	1.38906	1.38957	15912	8",,,,,,,-1
"2021-06-25 12:00:00	1.38957	1.39307	1.38914	1.38976	26348	8",,,,,,,-1
"2021-06-25 16:00:00	1.38976	1.3908	1.38711	1.3889	9042	8",,,,,,,-1
"2021-06-25 20:00:00	1.38889	1.38919	1.38762	1.38779	2361	7",,,,,,,-1
"2021-06-28 00:00:00	1.38958	1.38959	1.3876	1.38858	8416	8",,,,,,,-1
"2021-06-28 04:00:00	1.38857	1.39393	1.38855	1.39259	13410	7",,,,,,,-1
"2021-06-28 08:00:00	1.3926	1.39285	1.38862	1.389	15922	7",,,,,,,-1
"2021-06-28 12:00:00	1.38904	1.39263	1.38817	1.38948	21249	6",,,,,,,-1
"2021-06-28 16:00:00	1.38947	1.38948	1.38737	1.38739	8600	6",,,,,,,-1
"2021-06-28 20:00:00	1.38741	1.3884	1.38705	1.38782	3462	7",,,,,,,-1
"2021-06-29 00:00:00	1.38782	1.38802	1.38582	1.3865	6868	8",,,,,,,-1
"2021-06-29 04:00:00	1.38652	1.38792	1.38542	1.3858	10999	9",,,,,,,-1
"2021-06-29 08:00:00	1.38579	1.38644	1.38212	1.38267	20644	7",,,,,,,-1
"2021-06-29 12:00:00	1.38268	1.38482	1.38137	1.38441	24834	8",,,,,,,-1
"2021-06-29 16:00:00	1.3844	1.3853	1.38368	1.38504	7918	7",,,,,,,-1
"2021-06-29 20:00:00	1.38502	1.3851	1.38319	1.38398	8996	8",,,,,,,-1
"2021-06-30 00:00:00	1.38397	1.38602	1.38391	1.3852	6108	9",,,,,,,-1
"2021-06-30 04:00:00	1.38521	1.38559	1.38191	1.38315	12264	9",,,,,,,-1
"2021-06-30 08:00:00	1.38315	1.38726	1.38149	1.38672	23645	8",,,,,,,-1
"2021-06-30 12:00:00	1.38675	1.38675	1.38043	1.38053	27168	7",,,,,,,-1
"2021-06-30 16:00:00	1.38052	1.38344	1.37982	1.38328	11571	7",,,,,,,-1
"2021-06-30 20:00:00	1.38331	1.38378	1.38262	1.38279	4578	8",,,,,,,-1
"2021-07-01 00:00:00	1.3828	1.38292	1.38104	1.38185	9165	9",,,,,,,-1
"2021-07-01 04:00:00	1.38185	1.38334	1.38051	1.38193	13886	9",,,,,,,-1
"2021-07-01 08:00:00	1.38194	1.38342	1.37649	1.38092	27761	7",,,,,,,-1
"2021-07-01 12:00:00	1.38093	1.38203	1.3762	1.37784	33445	7",,,,,,,-1
"2021-07-01 16:00:00	1.37784	1.37795	1.37525	1.37575	9411	7",,,,,,,-1
"2021-07-01 20:00:00	1.37574	1.37646	1.37515	1.37585	5576	7",,,,,,,-1
"2021-07-02 00:00:00	1.37584	1.37729	1.37572	1.37676	8660	11",,,,,,,-1
"2021-07-02 04:00:00	1.37675	1.3776	1.37436	1.37599	13645	9",,,,,,,-1
"2021-07-02 08:00:00	1.37599	1.37669	1.37369	1.37414	17482	6",,,,,,,-1
"2021-07-02 12:00:00	1.37414	1.37962	1.37313	1.37923	46775	6",,,,,,,-1
"2021-07-02 16:00:00	1.37924	1.38444	1.37903	1.38348	10321	8",,,,,,,-1
"2021-07-02 20:00:00	1.38349	1.38372	1.38244	1.38244	2233	9",,,,,,,-1
"2021-07-05 00:00:00	1.38309	1.3831	1.38167	1.3821	7347	10",,,,,,,-1
"2021-07-05 04:00:00	1.3821	1.38478	1.38179	1.38472	13876	10",,,,,,,-1
"2021-07-05 08:00:00	1.38471	1.38617	1.38453	1.38553	14816	6",,,,,,,-1
"2021-07-05 12:00:00	1.38554	1.38563	1.38375	1.38524	11894	8",,,,,,,-1
"2021-07-05 16:00:00	1.38523	1.38587	1.38429	1.38493	27875	6",,,,,,,-1
"2021-07-05 20:00:00	1.3849	1.38582	1.38385	1.38529	5484	23",,,,,,,-1
"2021-07-06 00:00:00	1.38529	1.38883	1.38511	1.38838	7985	8",,,,,,,-1
"2021-07-06 04:00:00	1.38839	1.38981	1.38681	1.38705	17798	9",,,,,,,-1
"2021-07-06 08:00:00	1.387	1.38735	1.3834	1.38546	21316	8",,,,,,,-1
"2021-07-06 12:00:00	1.38544	1.38747	1.37874	1.37925	35066	7",,,,,,,-1
